dep_mul,wid_mul,res,epoch,accuracy
1.1201235717797997,1.1559724291314988,259,0,57.2
1.1201235717797997,1.1559724291314988,259,0,57.12
1.1201235717797997,1.1559724291314988,259,42,64.24
1.1013263287271575,1.0962727142895226,275,45,63.12
1.0602048737898164,1.0524280620936084,292,20,59.28
1.0185115845564785,1.0299266155022473,305,9,64.32
1.0775180286115595,1.0805232320688434,282,10,57.84
1.090717420174065,1.073124524653584,283,14,57.04
1.1013263162828486,1.2292409183917636,246,0,57.04
1.0518466795781454,1.1742750800928576,263,7,62.16
1.000528044124687,1.0891183622029066,291,23,57.44
1.0311257211395986,1.2336998949552476,253,10,62.88
1.1095518589093,1.1586938139924934,260,40,59.2
1.1245317873523026,1.1189685769091713,267,44,63.92
1.1020604619965286,1.1807461037087352,256,43,64.32
1.0584616095167092,1.25839451605218,245,14,62.72
1.00378906662855,1.3560533555225065,233,10,62.08
1.0,1.2249401788594554,259,11,61.84
1.0216513286944728,1.0616550430988905,295,35,62.0
1.0738103464721174,1.3614403373010102,225,47,61.44
1.036872246676078,1.3581337976925447,229,7,62.32
1.1102295640274351,1.2219256508350045,246,42,64.56
1.12453178317812,1.1917200575940994,251,8,60.72
1.0412082574181836,1.1772603608542225,264,37,64.4
1.0021556906685662,1.4088250126316773,225,11,63.36
1.000376806120526,1.4082553200994723,225,48,60.08
1.0082877778194967,1.271857347046765,248,14,61.44
1.0534233248408484,1.1358665897151794,272,10,63.12
1.0539635800869664,1.1051282551063797,279,13,57.12
1.0202849673582914,1.3868486156664634,226,0,59.76
1.0001750231485542,1.3950206378437564,227,25,60.32
1.1169265573478824,1.2026989597893014,249,13,64.16
1.1020604488736283,1.1409174895555745,264,16,58.0
1.0257866686412287,1.1816861327299104,265,9,58.16
1.0162820957133625,1.3447985697254778,234,25,60.56
1.047108152530712,1.2128779262621658,255,18,58.56
1.0937910384665952,1.1364211848808246,267,42,57.44
1.0806905028473843,1.1098208379955212,275,40,61.6
1.0000417884350936,1.4064751808718154,225,20,63.68
1.1339613667699049,1.235301739602159,241,17,64.0
1.12302014934831,1.1926018038264583,251,15,62.64
1.0584615938476418,1.0923592507722504,282,48,61.12
1.016282087857253,1.0431795449233503,301,40,57.04
1.094256819675829,1.1627215807508335,260,0,56.96
1.0523222250956112,1.241337645257618,249,37,60.32
1.1061195918390778,1.1580587459611058,260,49,58.0
1.1441990487548055,1.0712948978952594,276,17,60.64
1.077360514858988,1.2388258411675606,246,45,57.52
1.1106017799384424,1.1967143115300398,251,30,57.68
1.1072162736588806,1.143930556753756,263,22,59.28
1.0037890665069242,1.0408782732898665,304,18,64.0
1.0082877797715897,1.107273586752181,285,18,59.2
1.0471081502516917,1.1394442528905384,272,22,61.76
1.052322230020218,1.1105514709713586,278,0,60.96
1.096409201339101,1.162167404787522,260,10,57.12
1.113633081165155,1.20768305009812,249,23,63.36
1.0601697779226844,1.199601922296982,256,23,58.0
1.1142699220541954,1.2584869371904768,238,36,62.96
1.1177177097392297,1.1897130227221926,252,18,58.88
1.0810561759541495,1.1057061532824235,276,12,61.12
1.0,1.154494144970402,274,38,61.76
1.0534233307023133,1.2130653828871731,254,48,64.16
1.0937910415794228,1.1898854530513037,255,6,61.28
1.1061195564267203,1.161139121907775,259,25,60.88
1.1136333268915182,1.1096507587636324,271,0,60.88
1.0226472381060752,1.1825774840012635,265,12,57.44
1.0125811546195238,1.065442314042252,295,0,62.88
1.0913141631879444,1.2109285503237748,250,26,61.68
1.112956595144987,1.1918242577862852,252,9,64.16
1.0060138143027109,1.163113334462356,272,49,60.0
1.0216513344706613,1.3177773470048575,238,24,60.16
1.053963575741696,1.2464651231341657,248,38,62.88
1.0806905158316866,1.2257163031204352,249,27,60.08
1.144199184901607,1.2341505246700324,240,6,62.8
1.1201235717797997,1.1559724291314988,259,2,68.64646464954723
1.1201235717797997,1.1559724291314988,259,,
